site,Time,depth,speed,vorticity,Fr,porpoise_present
1,2024/1/4 19:30,10.2356,0.610352,9.82E-05,0.060941155,0
1,2024/1/4 20:00,10.2342,0.610294,9.81E-05,0.060939532,0
1,2024/1/4 20:30,10.2329,0.610231,9.80E-05,0.060937111,0
1,2024/1/4 21:00,10.2316,0.610171,9.78E-05,0.060934991,0
1,2024/1/4 21:30,10.2303,0.610087,9.75E-05,0.060930473,0
1,2024/1/4 22:00,10.229,0.610046,9.75E-05,0.06093025,0
1,2024/1/4 22:30,10.2276,0.609982,9.72E-05,0.060928027,0
1,2024/1/4 23:00,10.2263,0.609919,9.70E-05,0.060925606,0
1,2024/1/4 23:30,10.225,0.609858,9.68E-05,0.060923386,0
1,2024/1/5,10.2237,0.609797,9.67E-05,0.060921165,0
1,2024/1/5 00:30,10.2225,0.609865,9.66E-05,0.060931534,0
1,2024/1/5 01:00,10.2216,0.610026,9.63E-05,0.060950303,0
1,2024/1/5 01:30,10.2206,0.610194,9.62E-05,0.060970071,0
1,2024/1/5 02:00,10.2198,0.610352,9.61E-05,0.060988245,0
1,2024/1/5 02:30,10.219,0.610506,9.61E-05,0.061006021,0
1,2024/1/5 03:00,10.2183,0.610661,9.59E-05,0.0610236,0
1,2024/1/5 03:30,10.2177,0.610817,9.60E-05,0.061040981,0
1,2024/1/5 04:00,10.217,0.610971,9.59E-05,0.061058462,0
1,2024/1/5 04:30,10.2165,0.611123,9.58E-05,0.061075147,0
1,2024/1/5 05:00,10.216,0.611274,9.59E-05,0.061091733,0
1,2024/1/5 05:30,10.2155,0.611424,9.57E-05,0.06110822,0
1,2024/1/5 06:00,10.2151,0.611572,9.57E-05,0.061124208,0
1,2024/1/5 06:30,10.2147,0.611722,9.57E-05,0.061140397,0
1,2024/1/5 07:00,10.2143,0.611866,9.57E-05,0.061155987,0
1,2024/1/5 07:30,10.214,0.61201,9.56E-05,0.061171278,0
1,2024/1/5 08:00,10.2137,0.612153,9.56E-05,0.06118647,0
1,2024/1/5 08:30,10.2134,0.612294,9.57E-05,0.061201462,0
1,2024/1/5 09:00,10.2131,0.612429,9.55E-05,0.061215855,0
1,2024/1/5 09:30,10.2129,0.612568,9.56E-05,0.061230348,0
1,2024/1/5 10:00,10.2128,0.612707,9.56E-05,0.061244542,0
1,2024/1/5 10:30,10.2126,0.612844,9.55E-05,0.061258836,0
1,2024/1/5 11:00,10.2125,0.61298,9.56E-05,0.06127273,0
1,2024/1/5 11:30,10.2124,0.613115,9.56E-05,0.061286525,0
1,2024/1/5 12:00,10.2123,0.613248,9.56E-05,0.061300119,0
1,2024/1/5 12:30,10.2122,0.613381,9.57E-05,0.061313714,0
1,2024/1/5 13:00,10.2122,0.613513,9.56E-05,0.061326909,0
1,2024/1/5 13:30,10.2122,0.613644,9.55E-05,0.061340004,0
1,2024/1/5 14:00,10.2122,0.613773,9.56E-05,0.061352899,0
1,2024/1/5 14:30,10.2122,0.613902,9.57E-05,0.061365794,0
1,2024/1/5 15:00,10.2122,0.61403,9.57E-05,0.061378588,0
1,2024/1/5 15:30,10.2123,0.614157,9.57E-05,0.061390983,0
1,2024/1/5 16:00,10.2123,0.614284,9.57E-05,0.061403678,0
1,2024/1/5 16:30,10.2124,0.614409,9.58E-05,0.061415872,0
1,2024/1/5 17:00,10.2125,0.614533,9.58E-05,0.061427966,0
1,2024/1/5 17:30,10.2127,0.614657,9.60E-05,0.061439759,0
1,2024/1/5 18:00,10.2128,0.61478,9.60E-05,0.061451753,0
1,2024/1/5 18:30,10.213,0.614902,9.59E-05,0.061463346,0
1,2024/1/5 19:00,10.2131,0.615022,9.60E-05,0.06147504,0
1,2024/1/5 19:30,10.2133,0.615142,9.61E-05,0.061486433,0
1,2024/1/5 20:00,10.2135,0.615261,9.61E-05,0.061497725,0
1,2024/1/5 20:30,10.2138,0.615381,9.62E-05,0.061508816,0
1,2024/1/5 21:00,10.214,0.615499,9.61E-05,0.061520009,0
1,2024/1/5 21:30,10.2142,0.615617,9.62E-05,0.0615312,0
1,2024/1/5 22:00,10.2145,0.615734,9.64E-05,0.061541991,0
1,2024/1/5 22:30,10.2148,0.61585,9.63E-05,0.061552681,0
1,2024/1/5 23:00,10.2151,0.615966,9.63E-05,0.061563371,0
1,2024/1/5 23:30,10.2154,0.616082,9.64E-05,0.06157406,0
1,2024/1/6,10.2157,0.616196,9.65E-05,0.06158455,0
1,2024/1/6 00:30,10.2159,0.616246,9.66E-05,0.061588944,0
1,2024/1/6 01:00,10.2161,0.616248,9.67E-05,0.061588541,0
1,2024/1/6 01:30,10.2162,0.616247,9.65E-05,0.06158814,0
1,2024/1/6 02:00,10.2163,0.61625,9.66E-05,0.061588138,0
1,2024/1/6 02:30,10.2164,0.616253,9.66E-05,0.061588137,0
1,2024/1/6 03:00,10.2165,0.616255,9.66E-05,0.061588035,0
1,2024/1/6 03:30,10.2166,0.616257,9.66E-05,0.061587934,1
1,2024/1/6 04:00,10.2166,0.61626,9.66E-05,0.061588233,0
1,2024/1/6 04:30,10.2167,0.616262,9.66E-05,0.061588132,0
1,2024/1/6 05:00,10.2167,0.616265,9.66E-05,0.061588432,0
